X,Y,Z,Name,Category,Price,Suburb,Pog Approved,,,,,,,,
151.2044981,-33.8648903,0,Tiny's Sandwich Bar,Sandwiches,$$,CBD,Y,,,?,Sandwiches,,,Viewbox,
151.2063034,-33.8685174,0,The Charles Brasserie & Bar,French,$$$$,CBD,N,,,?,French,,,-34.09,150.67
151.2112593,-33.8626965,0,Pearl Dining,Cantonese,$$$$,Circular Quay,N,,,?,Cantonese,,,-33.59,151.34
151.2018792,-33.8653615,0,Bottega Coco,Italian,$$$$,Barangaroo,N,,,?,Italian,,,,
151.2154446,-33.8889762,0,Arthur Surry Hills,Australian,$$$$$,Surry Hills,N,,,?,Australian,,,,
151.2138665,-33.8867209,0,NOUR,Middle-Eastern,$$$$,Surry Hills,Y,,,?,Middle-Eastern,,,,
151.2135605,-33.8862901,0,Ito Restaurant,Japanese,$$$,Surry Hills,Y,,,?,Japanese,,,,
151.210175,-33.8974442,0,Ora Restaurant,Japanese,$$$,Waterloo,N,,,?,Japanese,,,,
151.1596696,-33.9119561,0,HOUSE OF PAPI,Dessert,$,Marrickville,N,,,?,Dessert,,,,
151.2014199,-33.8643171,0,Shortstop Coffee & Donuts,Dessert,$,Barangaroo,N,,,?,Dessert,,,,
151.1973855,-33.8668159,0,LuMi Dining,Italian-Japanese,$$$$$$,Pyrmont,N,,,?,Italian-Japanese,,,,
151.2583183,-33.9184725,0,mimi's,Australian,$$$$$,Coogee,N,,,?,Australian,,,,
151.2090994,-33.8566476,0,6HEAD Sydney,Steakhouse,$$$$$,The Rocks,Y,,,?,Steakhouse,,,,
151.0896029,-33.9312228,0,Chebbo's Burgers - Roselands,Burgers,$,Roselands,N,,,?,Burgers,,,,
151.2012023,-33.8625568,0,Oncore by Clare Smyth,British,$$$$$$,Barangaroo,N,,,?,British,,,,
151.2080003,-33.8384212,0,Poetica Bar & Grill,Steakhouse,$$$,North Sydney,N,,,?,Steakhouse,,,,
151.2247802,-33.8750955,0,Farmhouse Kings Cross,Australian,$$$,Kings Cross,N,,,?,Australian,,,,
151.2628539,-33.8704584,0,Catalina Restaurant,Seafood,$$$$$,Rose Bay,N,,,?,Seafood,,,,
151.2104365,-33.865653,0,Alfie's,Steakhouse,$$$,CBD,Y,,,?,Steakhouse,,,,
151.2110278,-33.8828778,0,Reuben Hills,Brunch,$$,Surry Hills,N,,,?,Brunch,,,,
151.2011511,-33.8785445,0,Edition Roasters,Brunch,$$,Potts Point,Y,,,?,Brunch,,,,
151.2066502,-33.8768617,0,Edition Roasters World Square,Brunch,$$,Haymarket,Y,,,?,Brunch,,,,
151.2061772,-33.8678094,0,A.P Place (A.P Bakery),Bakery,$$,CBD,N,,,?,Bakery,,,,
151.1830286,-33.8941214,0,TokyoTaco,Japanese,$$,Newtown,N,,,?,Japanese,,,,
151.2212417,-33.8780411,0,Shadow Baking - Darlinghurst,Bakery,$,Darlinghurst,Y,,,?,Bakery,,,,
151.2105251,-33.8842038,0,TOKKI,Asian-Fusion,$$$,Surry Hills,N,,,?,Asian-Fusion,,,,
151.2138107,-33.8868562,0,Armorica,French,$$$,Surry Hills,Y,,,?,French,,,,
151.2053387,-33.8701665,0,Izgara,Turkish,$$$,CBD,Y,,,?,Turkish,,,,
151.2084655,-33.8637428,0,Kid Kyoto,Japanese,$$$,CBD,N,,,?,Japanese,,,,
151.225318,-33.869544,0,Cho Cho San,Japanese,$$$,Potts Point,N,,,?,Japanese,,,,
151.2065551,-33.8696141,0,Esteban,Mexican,$$$$,CBD,N,,,?,Mexican,,,,
151.2017139,-33.8670524,0,Alegre Bar and Dining,Mexican,$$$$,Barangaroo,N,,,?,Mexican,,,,
151.2249714,-33.8702612,0,Franca Brasserie,French,$$$$,Potts Point,N,,,?,French,,,,
151.2102007,-33.8813543,0,Goryon San,Japanese,$$$,Surry Hills,N,,,?,Japanese,,,,
151.1570661,-33.8813898,0,Capriccio Osteria,Italian,$$$,Leichardt,N,,,?,Italian,,,,
151.2054998,-33.8696973,0,Santa Catarina: Oaxacan Restaurant & Mezcal Bar Sydney,Mexican,$$$,CBD,N,,,?,Mexican,,,,
151.2052217,-33.8672334,0,UCHILOUNGE / O'Uchi,Japanese,$$,CBD,N,,,?,Japanese,,,,
151.2093505,-33.8680725,0,AALIA Restaurant Sydney,Middle-Eastern,$$$$,CBD,N,,,?,Middle-Eastern,,,,
150.9358217,-33.8949543,0,Air Lab,Dessert,$,Cabramatta,N,,,?,Dessert,,,,
